,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global PEO Services Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Starr EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age Bands:,"Cat 4:
8136 - Global Elite
Apex, nil deductible + WOV USD 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Area 5:,,,,,Area 7:,,,,,Area 11:,,,,,Area 7: Costa Rica,,,,,Area12: Saudi Arabia,,,,,,Area 7: Costa Rica,,,,,"Area 16: Pakistan, Egypt",,,,,"Area 16: Sri Lanka, Pakistan, Nigeria, ROW",,,,,Area 7: Costa Rica,,,,,Area 7: Bangladesh,,,,,"Area 7: Argentina, Bangladesh, Barbados, Chile, Colombia, Peru, Switzerland, Turkey, ROW",,,,,China 17,,
,,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",No. of lives,Age Banded ,Premium,% Increase,"2023
Age Banded ",Premium,% Increase
,0 – 17,"$2,594.90 ",0,"$2,440.21 ",$0.00 ,-5.96%,"$2,250.27 ",0,"$2,135.62 ",$0.00 ,-5.09%,"$1,887.75 ",0,"$1,742.30 ",$0.00 ,-7.70%,"$1,951.64 ",0,"$1,951.71 ",$0.00 ,0.0%,"$3,559.03 ",0,"$3,452.46 ",$0.00 ,-3.0%,,$617.69 ,0,$617.69 ,$0.00 ,0.0%,$483.32 ,24,$435.04 ,"$10,440.96 ",-10.0%,$483.32 ,0,$455.20 ,$0.00 ,-5.8%,"$1,835.01 ",14,"$1,835.17 ","$25,692.38 ",0.01%,"$1,835.01 ",0,"$1,651.58 ",$0.00 ,-10.00%,"$1,835.01 ",3,"$1,749.21 ","$5,247.63 ",-4.68%,"$3,866.51","$3,818.04",-1.30%
,18 – 25,"$3,986.12 ",0,"$3,748.48 ",$0.00 ,-5.96%,"$3,456.71 ",0,"$3,280.60 ",$0.00 ,-5.09%,"$2,899.83 ",0,"$2,676.41 ",$0.00 ,-7.70%,"$2,997.98 ",0,"$2,998.09 ",$0.00 ,0.0%,"$5,467.16 ",0,"$5,303.45 ",$0.00 ,-3.0%,,$753.05 ,9,$753.07 ,"$6,777.63 ",0.0%,$589.23 ,40,$530.38 ,"$21,215.20 ",-10.0%,$589.23 ,0,$554.96 ,$0.00 ,-5.8%,"$2,237.17 ",8,"$2,237.36 ","$17,898.88 ",0.01%,"$2,237.17 ",0,"$2,013.54 ",$0.00 ,-10.00%,"$2,237.17 ",0,"$2,132.57 ",$0.00 ,-4.68%,"$5,939.49  ","$5,865.01",-1.30%
,26 – 30,"$4,521.80 ",0,"$4,252.22 ",$0.00 ,-5.96%,"$3,921.24 ",0,"$3,721.47 ",$0.00 ,-5.09%,"$3,289.53 ",0,"$3,036.08 ",$0.00 ,-7.70%,"$3,400.87 ",0,"$3,401.00 ",$0.00 ,0.0%,"$6,201.87 ",0,"$6,016.16 ",$0.00 ,-3.0%,,$868.03 ,7,$868.04 ,"$6,076.28 ",0.0%,$679.20 ,43,$611.36 ,"$26,288.48 ",-10.0%,$679.20 ,0,$639.70 ,$0.00 ,-5.8%,"$2,578.75 ",10,"$2,578.97 ","$25,789.70 ",0.01%,"$2,578.75 ",0,"$2,320.97 ",$0.00 ,-10.00%,"$2,578.75 ",4,"$2,458.17 ","$9,832.68 ",-4.68%,"$6,737.67  ","$6,653.20",-1.30%
,31 - 35,"$4,892.08 ",0,"$4,600.42 ",$0.00 ,-5.96%,"$4,242.34 ",0,"$4,026.20 ",$0.00 ,-5.09%,"$3,558.90 ",0,"$3,284.71 ",$0.00 ,-7.70%,"$3,679.35 ",0,"$3,679.49 ",$0.00 ,0.0%,"$6,709.73 ",0,"$6,508.81 ",$0.00 ,-3.0%,,$954.51 ,2,$954.52 ,"$1,909.04 ",0.0%,$746.85 ,27,$672.26 ,"$18,151.02 ",-10.0%,$746.85 ,2,$703.42 ,"$1,406.84 ",-5.8%,"$2,835.65 ",9,"$2,835.90 ","$25,523.10 ",0.01%,"$2,835.65 ",0,"$2,552.20 ",$0.00 ,-10.00%,"$2,835.65 ",7,"$2,703.07 ","$18,921.49 ",-4.68%,"$7,289.41  ","$7,198.00",-1.30%
